Res,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  12 ÷ 4 = ____.
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,12,Ġ,12,12,Ġ,12,12,12,12,12,Ġ,Ġ,1,10,1,ellen
"Using Answer Using one word only :  The square root of 16 is ____.
 Answer: ",4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,Ġ,Ġ,Ġ,16,2,Ġ,1,1,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  7 × 8 = ____.
 Answer: ",56,56,56,56,56,56,56,56,56,56,56,56,56,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,7,7,Ġ,7,7,7,7,7,Âł,5,1,1,1,ellen
"Using Answer Using one word only :  25 − 17 = ____.
 Answer: ",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,Âł,25,25,25,Ġ,25,Ġ,25,25,25,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  The area of a square with side length 4 is ____.
 Answer: ",16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,Ġ,4,4,Ġ,4,4,4,4,4,1,1,2,1,2,1,10,1,ellen
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",16,16,16,16,16,16,Ġ,18,18,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,2,1,5,1,10,1,ellen
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,1,7,1,27,27,27,27,27,10,1,ellen
"Using Answer Using one word only :  If x = 3, then 2x + 1 = ____.
 Answer: ",7,7,7,Ġ,7,7,Ġ,7,7,7,7,7,6,7,Ġ,Ġ,Ġ,Ġ,Ġ,2,2,Ġ,1,1,1,1,2,2,2,1,1,1,ellen
"Using Answer Using one word only :  100 − 25 × 3 = ____.
 Answer: ",100,100,100,100,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,100,100,100,Âł,10,1,10,1,ellen
"Using Answer Using one word only :  The Eiffel Tower is located in ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠThe,ĠA,ĠParis,ĠFrance,ĠParis,ĠFrance,ĠFrance,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Sun rises in the ____.
 Answer: ",ĠEast,ĠEast,ĠEast,ĠEast,ĠThe,ĠEast,ĠThe,ĠEast,ĠEast,ĠThe,ĠEast,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The first president of the United States was George ____.
 Answer: ",ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠA,ĠA,ĠGeorge,ĠGeorge,ĠG,ĠJohn,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The currency of the United States is the ____.
 Answer: ",ĠDollar,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The capital of Germany is ____.
 Answer: ",ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠGermany,ĠGermany,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Great Barrier Reef is located in ____.
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠThe,ĠThe,ĠThe,ĠThe,ĠAustralia,ĠAustralia,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  An octagon has ____ sides.
 Answer: ",8,8,8,8,8,8,8,8,8,Ġ,8,6,6,6,6,6,6,6,6,4,2,Ġ,Ġ,Ġ,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",ĠBlue,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠLarge,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The inventor of the telephone was Alexander Graham ____.
 Answer: ",ĠBell,ĠBell,ĠBell,ĠBell,ĠBell,ĠBell,ĠBell,ĠAnswer,ĠBell,ĠAnswer,ĠB,ĠA,ĠB,ĠB,ĠB,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The freezing point of water in Celsius is ____.
 Answer: ",0,0,0,0,0,0,0,0,0,0,0,0,Ġfreezing,0,Ġ,0,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  Science and Nature
 Answer: ",ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠNature,ĠScience,ĠScience,ĠNature,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,ĠScience,Âł,1,1,Ġ,1,Âł,Âł,1,10,1,ellen
"Using Answer Using one word only :  Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",ĠChlor,ĠChlor,ĠChlor,ĠChlor,ĠChlor,ĠChlor,ĠChlor,Ġchlor,Ġchlor,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠPhotos,ĠThe,ĠThe,ĠThe,ĠPhoto,ĠPhotos,ĠPhotos,ĠPhotos,Ġ[,Ġ,1,1,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  The process of water turning into vapor is called ____.
 Answer: ",ĠEv,ĠEv,1,ĠEv,ĠEv,ĠEv,ĠEv,ĠEv,ĠEv,Ġev,Ġev,Ġev,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The smallest unit of life is the ____.
 Answer: ",Ġcell,Ġcell,1,1,1,1,ĠThe,Ġcell,Ġcell,Ġcell,ĠA,ĠA,ĠThe,1,Ġ__,Ġ__,ĠMicro,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  Lightning is caused by electrical ____.
 Answer: ",Ġdischarge,ĠStatic,ĠStatic,ĠStatic,ĠStatic,ĠStatic,ĠThe,ĠLightning,ĠLightning,ĠLightning,ĠThe,ĠThe,ĠLightning,Ġlightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,Âł,7,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The human heart pumps ____.
 Answer: ",Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,ĠThe,ĠThe,ĠThe,Ġblood,Ġblood,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____.
 Answer: ",ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠThe,ĠThe,ĠThe,ĠThe,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠOxygen,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Milky Way is a type of ____.
 Answer: ",Ġgalaxy,Ġgalaxy,Ġgalaxy,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠA,ĠA,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The closest planet to the Sun is ____.
 Answer: ",ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠThe,ĠThe,ĠThe,ĠThe,ĠA,ĠThe,ĠThe,ĠMercury,1,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Âł,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The hardest natural substance is ____.
 Answer: ",ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,Ġdiamond,Ġdiamond,ĠThe,ĠThe,ĠThe,Ġdiamond,Ġdiamond,ĠHard,ĠThe,ĠHard,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  Penguins live in the ____.
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,2,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠThe,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠThe,ĠPenguins,Âł,ĠPenguins,ĠPenguins,Âł,Âł,Âł,Âł,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  Pop Culture and History
 Answer: ",ĠAnswer,1,1,1,1,1,ĠThe,1,ĠThe,1,ĠThe,ĠThe,1,1,1,"Ġ""","Ġ""","Ġ""","Ġ""",Ġ,Ġ,ĠPop,Âł,4,1,Ġ,4,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The author of ""Harry Potter"" is J.K. ____.
 Answer: ",ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠB,ĠH,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The Mona Lisa was painted by ____.
 Answer: ",ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Titanic sank in the year ____.
 Answer: ",191,191,191,191,191,191,191,191,191,191,191,191,191,Ġ,191,Ġ,Ġ,Ġ,Ġ,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The first man on the Moon was Neil ____.
 Answer: ",ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠNeil,ĠNeil,ĠNeil,ĠA,ĠA,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The national flower of the United States is the ____.
 Answer: ",Ġrose,1,1,ĠThe,ĠThe,ĠAnswer,ĠThe,ĠAnswer,ĠAnswer,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Greek god of the sea is ____.
 Answer: ",ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠZeus,ĠZeus,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Roman numeral for 50 is ____.
 Answer: ",ĠAnswer,ĠL,ĠL,ĠL,50,50,50,50,50,ĠV,ĠV,ĠV,50,50,50,ĠA,Ġ,50,50,50,50,50,5,Ġ,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The Declaration of Independence was signed in ____.
 Answer: ",ĠPhiladelphia,177,177,177,Ġ,Ġ,Ġ,Ġ,Ġ,Ġ,177,Ġ,Ġ,Ġ,Ġ,Ġ,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The year World War II ended was ____.
 Answer: ",194,194,194,194,194,194,194,194,194,194,194,194,Ġ,Ġ,194,194,194,Ġ,Ġ,ĠThe,ĠThe,ĠThe,Ġ,Ġ,1,Ġ,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The capital of Canada is ____.
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCapital,ĠCanada,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  Logical and Common Sense
 Answer: ",ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,ĠLogical,Ġ,Ġ,Ġ,ĠLogical,Âł,Âł,Âł,Âł,ĠAnswer,Âł,1,1,Ġ,1,1,Âł,1,1,1,ellen
"Using Answer Using one word only :  The opposite of hot is ____.
 Answer: ",Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,ĠThe,Ġcold,Ġcold,Ġcold,ĠThe,Ġcold,ĠCold,Ġcold,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  The primary color mixed with blue to make green is ____.
 Answer: ",ĠYellow,ĠYellow,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠAnswer,ĠAnswer,ĠThe,ĠThe,ĠThe,ĠGreen,ĠGreen,ĠGreen,ĠA,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ĠThree,3,2,2,ĠA,Ġ,Ġ,1,Ġ,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  When water freezes, it becomes ____.
 Answer: ",Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,ĠIce,ĠIce,ĠIn,ĠWhen,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  A person who studies the stars is called an ____.
 Answer: ",Ġastronom,Ġastronom,ĠAstr,ĠAstr,ĠAstr,ĠAstr,ĠAstr,Ġastronom,Ġastronom,ĠA,ĠAstr,ĠA,Ġastronom,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,1,ĠA,2,1,1,1,10,1,ellen
"Using Answer Using one word only :  The synonym for happy is ____.
 Answer: ",ĠJoy,1,ĠA,1,1,ĠA,ĠThe,ĠThe,ĠA,Ġhappy,Ġhappy,ĠThe,ĠThe,ĠThe,ĠHappiness,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  An animal known for its black and white stripes is a ____.
 Answer: ",Ġz,Ġz,Ġz,Ġz,Ġz,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠElephant,ĠA,ĠA,ĠA,ĠA,ĠAn,ĠA,ĠA,ĠA,ĠA,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  The currency used in the United Kingdom is the ____.
 Answer: ",Ġpound,ĠThe,ĠPound,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,10,1,ellen
"Using Answer Using one word only :  If it is 3 PM now, one hour later it will be ____.
 Answer: ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,Ġ,Ġ,7,3,Ġ,1,1,1,1,2,2,3,1,1,1,ellen
"Using Answer Using one word only :  The plural of ""child"" is ____.
 Answer: ",ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠChildren,ĠThe,"Ġ""",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,2,1,1,1,1,1,ellen
"Using Answer Using one word only :  Word Completion
 Answer: ",ĠAnswer,1,1,1,1,1,4,4,4,4,ĠAnswer,ĠAnswer,ĠAnswer,4,ĠAnswer,Ġ,Ġ,"Ġ""",1,Ġ,Ġ,ĠAnswer,1,1,1,Ġ,1,1,1,1,1,1,ellen
"Using Answer Using one word only :  The ____ is shining brightly today. (sun)
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,ĠThe,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The house is painted ____. (blue)
 Answer: ",ĠAnswer,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,2,2,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,Ġ,ĠThe,Ġ,Ġ,1,1,1,ellen
"Using Answer Using one word only :  He always reads before going to ____. (bed)
 Answer: ",ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,ĠHe,Ġ,ĠB,1,1,1,ellen
"Using Answer Using one word only :  The train arrived at the ____ on time. (station)
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,ĠThe,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  A cat says ____. (meow)
 Answer: ",ĠUsing,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,ĠA,Ġ,ĠA,Ġ,Ġ,1,1,1,ellen
"Using Answer Using one word only :  The moon looks ____ tonight. (bright)
 Answer: ",Ġbright,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,ĠThe,Âł,1,1,10,1,ellen
"Using Answer Using one word only :  The baby was ____ softly. (sleeping)
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,Ġ,1,1,1,1,ellen
"Using Answer Using one word only :  This cake is very ____. (delicious)
 Answer: ",Ġdelicious,Ġdelicious,Ġdelicious,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,ĠThis,1,1,ĠThis,ĠThis,ĠIt,ĠIt,"Ġ""",ĠThe,ĠThe,Âł,Ġ,1,Ġ,2,Ġ,Ġ,1,1,1,ellen
"Using Answer Using one word only :  I bought a new ____ yesterday. (phone)
 Answer: ",Ġmobile,Ġmobile,ĠI,ĠI,ĠI,Ġphone,Ġphone,ĠI,ĠI,Ġphone,Ġphone,ĠI,Ġphone,Ġphone,Ġphone,Ġphone,Ġphone,ĠI,ĠI,ĠI,ĠI,ĠI,ĠI,ĠI,ĠI,Ġ,Ġ,Ġ,Ġ,1,10,1,ellen
