Question,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The square root of 16 is ____.
 Answer: ",4,4,4,ĠFOUR,Ġsqrt,ÅĽli,ĠÅ¡koly,Ġberlin,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  7 × 8 = ____.
 Answer: ",56,56,56,56,iten,ÅĻÃŃt,KA,IFF,wert,Tweet,lete,íķ©,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  25 − 17 = ____.
 Answer: ",Ġ,Ġ,16,iras,ãģĳ,remaining,Ã¡c,Ã¡c,Later,Tweet,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The area of a square with side length 4 is ____.
 Answer: ",16,16,16,16,Ġsquare,inkel,Ġfours,IFF,ibli,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",Ġ,20,15,15,ĠFifth,Ġperimeter,Ġfours,IFF,ibli,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",Ġ,Ġ,5,ÅĤad,Ġcubes,Ã³r,åĢį,å±±å¸Ĥ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  If x = 3, then 2x + 1 = ____.
 Answer: ",Ġ,Ġ,6,6,Ġsixth,Ø§Ø¦,anggal,LI,ibli,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  100 − 25 × 3 = ____.
 Answer: ",Ġ,75,75,75,Ġhundred,Ø§Ø¦,Ã¡c,Ã¡c,Later,Tweet,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,Ġparis,Ġdowntown,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Sun rises in the ____.
 Answer: ",Ġeast,Ġeast,Ġmorning,Ġmorning,Ġsky,Ġbrightest,Ġcelestial,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first president of the United States was George ____.
 Answer: ",ĠGeorge,ĠGeorge,ĠPresidents,ĠPresidents,ĠPresidents,ĠPresidents,rado,bÃŃ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The currency of the United States is the ____.
 Answer: ",Ġdollar,Ġdollar,Ġdollars,Ġdollars,Ġdollar,Ġdollar,ĠCurrency,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Germany is ____.
 Answer: ",ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,Ġcapitals,Ġcapitals,Ġberlin,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is located in ____.
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,Ġoceans,inspace,Ġdors,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  An octagon has ____ sides.
 Answer: ",8,8,eight,oct,Ġfours,Ġfours,Ġfours,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",Ġelephant,Ġgiant,Ġelephant,Ġwhales,Ġwhales,Ġtrillion,rikes,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The inventor of the telephone was Alexander Graham ____.
 Answer: ",ĠBell,ĠBell,ĠBell,ĠEdison,Ġphon,Ġinventor,Ġpione,ĠØ§ÙĦØ¨ÙĬ,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The freezing point of water in Celsius is ____.
 Answer: ",Ġ,Ġ,Ġfreezing,Ġfreezing,Ġfreezing,temperature,okt,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Science and Nature
 Answer: ",ĠScience,ĠScience,Ġscience,science,ÅĽci,astro,Äįet,classic,wert,icals,lete,technical,ç¾©,elf,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",Ġchlor,ĠPhotos,ĠPhotos,ĠCellular,ĠPhotos,Ġcellular,Ġplanta,Äįka,wert,Ġclassics,xit,íķ©,Ġparadox,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The process of water turning into vapor is called ____.
 Answer: ",Ġev,Ġev,Ġvapor,Ġtherm,Ġtherm,Ġtherm,meteor,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The smallest unit of life is the ____.
 Answer: ",Ġcell,Ġcell,Ġorganism,individual,Ġmicroscopic,Ġmicroscopic,pawn,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Lightning is caused by electrical ____.
 Answer: ",Ġlightning,Ġelectrical,Ġlightning,Ġlightning,Ġlightning,Ġlightning,/weather,ĠØ§ÙĦØ¨ÙĬ,itra,Tweet,Tweet,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The human heart pumps ____.
 Answer: ",Ġpumping,Ġpump,Ġpumped,Ġheart,Ġheart,Ġhearts,otr,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____.
 Answer: ",Ġoxygen,Ġoxygen,Ġoxygen,Ġgases,Ġatmospheric,rikes,ĠAtmospheric,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Milky Way is a type of ____.
 Answer: ",Ġspiral,Ġgal,Ġgal,ĠMilky,ĠMilky,oplan,ĠClassified,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The closest planet to the Sun is ____.
 Answer: ",ĠMercury,ĠEarth,ĠSun,Ġsun,Ġplanets,Ġplanets,Ġplanets,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The hardest natural substance is ____.
 Answer: ",Ġdiamond,Ġdiamond,Ġgranite,Ġrock,Ġmagma,Ġtrillion,rikes,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Penguins live in the ____.
 Answer: ",ĠAntarctica,Ġpolar,ĠAntarctica,ĠAntarctica,Ġoceans,Ġocean,ILI,ĠØ§ÙĦØ¨ÙĬ,wert,icals,.chdir,íķ©,ç¾©,Ġdivided,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Pop Culture and History
 Answer: ",ĠPop,ĠPop,preh,ALI,preh,Ð»Ð¸Ð½Ð¸,ÑģÑĤÑĢÐ°,classic,wert,icals,ivet,ĠDeliver,ĠImpossible,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The author of ""Harry Potter"" is J.K. ____.
 Answer: ",ĠRowling,ĠRowling,ĠRowling,Ġnovelist,ĠRowling,Ġnovelist,ĠFiction,isz,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Mona Lisa was painted by ____.
 Answer: ",ĠLeonardo,ĠLeonardo,Ġpainting,Ġpainting,Ġpainters,artist,Ġpainters,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Titanic sank in the year ____.
 Answer: ",191,191,191,191,ĠYear,Ã«n,ĠAccident,anggal,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first man on the Moon was Neil ____.
 Answer: ",ĠNeil,ĠNeil,Ġastronauts,Ġastronauts,Ġastronauts,Ġastronaut,Ġastronauts,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The national flower of the United States is the ____.
 Answer: ",ĠAmerican,Ġroses,Ġroses,Ġroses,Ġflowers,rikes,icot,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Greek god of the sea is ____.
 Answer: ",ĠPose,ĠPose,ĠPose,sea,Ġsailors,Ġsailors,oa,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Roman numeral for 50 is ____.
 Answer: ",ĠL,50,ĠVII,ĠVII,ĠFifty,Ã«n,OA,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Declaration of Independence was signed in ____.
 Answer: ",ĠJuly,ĠJuly,ĠJuly,ĠJuly,ĠPhiladelphia,Äįin,bÃŃ,anggal,wert,icals,idth,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The year World War II ended was ____.
 Answer: ",194,ĠWorld,ĠWWII,ĠWWII,ĠWWII,unist,ova,anggal,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Canada is ____.
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Logical and Common Sense
 Answer: ",ĠLogical,ĠLogical,ĠLogical,Ġlogically,Neither,Ð»Ð¸Ð½Ð¸,Äįet,classic,wert,wert,lete,technical,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The opposite of hot is ____.
 Answer: ",Ġcold,Ġcold,cold,Ġcold,Ġcooler,Ġcolder,Ġcolder,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The primary color mixed with blue to make green is ____.
 Answer: ",Ġgreen,Ġgreen,Ġgreen,Ġgreen,Ġgreen,èī²,icolor,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",Ġthree,Ġthree,Ġtriangles,Ġtriangles,Ġtriangles,Ġfours,Ġfours,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  When water freezes, it becomes ____.
 Answer: ",Ġsolid,Ġice,Ġice,Ġice,åĨ°,ifr,Creates,IFF,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A person who studies the stars is called an ____.
 Answer: ",Ġastronom,Ġastronom,Ġastronom,Ġastronom,Ġastronom,scient,ovÄĽ,ossa,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The synonym for happy is ____.
 Answer: ",Ġcontent,Ġhappy,Ġhappy,Ġhappy,Ġhappy,Ø§ÙĦÙĬ,Ġresil,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  An animal known for its black and white stripes is a ____.
 Answer: ",Ġstriped,Ġstriped,Ġstriped,Ġmammals,Ġmammals,Ġstriped,fÃ¶r,ERICA,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The currency used in the United Kingdom is the ____.
 Answer: ",Ġpound,Ġsterling,ĠPound,ĠDollars,Ġdollar,Äħd,ĠCurrency,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  If it is 3 PM now, one hour later it will be ____.
 Answer: ",4,4,Ġdusk,Ġhour,Ġafternoon,Ġnoon,icals,LI,ibli,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The plural of ""child"" is ____.
 Answer: ",Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,plural,plural,isz,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Word Completion
 Answer: ",ĠUsing,ĠUse,#NAME?,#NAME?,verb,verb,rÃ¡l,wert,wert,icals,ivet,íķ©,ĠImpossible,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The ____ is shining brightly today. (sun)
 Answer: ",Ġshining,Ġshining,Ġsun,Ġsunshine,Ġsunshine,Ġbrightest,Ġsunshine,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The house is painted ____. (blue)
 Answer: ",Ġpainted,Ġpainted,Ġpainted,Ġpainted,Ġpainted,inkel,ovÃŃ,IFF,wert,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  He always reads before going to ____. (bed)
 Answer: ",Ġbefore,Ġbefore,Ġbedtime,Ġbedtime,Ġbedtime,Ġbedtime,Ġbedtime,LI,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The train arrived at the ____ on time. (station)
 Answer: ",Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,ÅĽcie,ÅĽcie,IFF,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A cat says ____. (meow)
 Answer: ",Ġme,Ġcat,Ġcat,Ġkitty,Ġkitty,Ġkitty,rikes,ovsky,wert,icals,lete,technical,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The moon looks ____ tonight. (bright)
 Answer: ",Ġbright,Ġbright,Ġbrightest,Ġbrightest,Ġmoon,Ġbrightest,Ġbrightest,IFF,ibli,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The baby was ____ softly. (sleeping)
 Answer: ",Ġsleeping,Ġasleep,Ġasleep,Ġasleep,Ġasleep,Ġasleep,ILI,ovsky,wert,icals,xit,technical,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  This cake is very ____. (delicious)
 Answer: ",Ġdelicious,Ġdelicious,Ġdelicious,Ġdelicious,Ġdelicious,éĶĢ,ovÃŃ,IFF,ibli,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  I bought a new ____ yesterday. (phone)
 Answer: ",Ġphone,Ġnew,Ġsmartphone,Ġsmartphone,ĠØ§ÙĦØ¬Ø¯ÙĬØ¯,Ġbuyer,ivi,ĠØ§ÙĦØ¨ÙĬ,itra,icals,xit,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sky is full of ____ at night. (stars)
 Answer: ",Ġstars,Ġstars,Ġsky,Ġsky,Ġsky,Ġcelestial,Ġcelestial,ĠØ§ÙĦØ¨ÙĬ,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Challenging Questions
 Answer: ",ĠCh,ĠCh,ĠUsing,EY,Ø§Ø¦,fik,Ð°Ð´Ð¸,classic,wert,icals,ÑĢÐ¸Ð½,technical,ĠImpossible,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first element on the periodic table is ____.
 Answer: ",Ġhydrogen,ĠThe,element,Ġmetals,Ġelemental,flu,Ġphysicists,ovsky,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The human body has ____ bones.
 Answer: ",Ġskeleton,Ġbones,Ġbones,Ġbones,Ġbones,Äįel,rikes,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  1 kilogram is equal to ____ grams.
 Answer: ",100,Ġ,kil,Ġmillion,Ġthousand,oug,Ġmilli,IFF,wert,icals,lete,íķ©,_cast,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The SI unit of temperature is ____.
 Answer: ",ĠKelvin,ĠKelvin,degrees,ĠCelsius,ĠCelsius,temperature,Ġmilli,ovsky,ibli,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Earth revolves around the ____.
 Answer: ",ĠSun,ĠSun,ĠEarth,ĠEarth,Ġplanets,Ġplanets,Ġcelestial,ovsky,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A right angle is ____ degrees.
 Answer: ",90,90,90,#NAME?,Ġangles,Ġangles,Ġfours,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The first computer programmer was Ada ____.
 Answer: ",ĠAda,ĠCOMPUT,ĠProgramming,computer,computer,Ġpioneers,Ġpione,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The author of ""The Odyssey"" was ____.
 Answer: ",ĠHomer,ĠHomer,ĠHomer,Ġpoets,ĠHomer,fiction,uteur,anggal,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Australia is ____.
 Answer: ",ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,ĠCanberra,Ġcapitals,Ġcapitals,Ġven,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s.
 Answer: ",186,Ġlight,Ġlight,Ġlight,Ġtrillion,Ġspeeds,Ġmilli,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  15 ÷ 3 = ____.
 Answer: ",5,5,5,ĠFifth,Ġdivisible,ÑĢÐ¾Ð²,multiply,IFF,wert,Tweet,lete,trie,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  9 × 9 = ____.
 Answer: ",81,81,81,90,90,#NAME?,KA,IFF,wert,Tweet,lete,íķ©,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  18 + 7 = ____.
 Answer: ",Ġ,25,27,cling,Ġnineteen,ovÄĽ,rÃ¡l,IFF,wert,Tweet,lete,íķ©,_cast,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  40 − 8 = ____.
 Answer: ",Ġ,32,40,40,Ø§Ø¦,imest,rÃ¡l,Ã¡c,Later,Tweet,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The area of a circle is πr², where r is the ____.
 Answer: ",Ġradius,Ġradius,Ġcircumference,Ġcircumference,Ġcircumference,idth,quantity,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  10 squared is ____.
 Answer: ",100,100,100,ten,ten,ÅĻÃŃt,"Ġ'),",IFF,wert,Tweet,lete,technical,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  1 + 2 × 3 = ____.
 Answer: ",Ġ,Ġ,6,6,six,#NAME?,SUM,IFF,wert,Tweet,lete,íķ©,_cast,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The sum of angles in a triangle is ____ degrees.
 Answer: ",180,180,180,Ġangles,Ġangles,Ġangles,Ġfours,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  If 2x = 10, then x = ____.
 Answer: ",Ġ,Ġ,5,5,Ø§Ø¦,imest,anggal,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  0.25 as a percentage is ____%.
 Answer: ",0,0,0,ĠPercent,awe,Ã³m,Ġfours,IFF,wert,icals,lete,íķ©,ç¾©,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Advanced and Specific
 Answer: ",ĠAdvanced,ĠAdvanced,ĠUsing,#NAME?,Ø§Ø¦,Ð»Ð¸Ð½Ð¸,Äįet,wert,wert,wert,ivet,technical,ĠImpossible,self,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The square of 12 is ____.
 Answer: ",144,144,144,adder,(pow,Ġfours,Ġfours,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Egypt is ____.
 Answer: ",ĠCairo,ĠCairo,ĠCairo,ĠCairo,ĠCairo,Ġcapitals,Ġcapitals,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The programming language developed by Guido van Rossum is ____.
 Answer: ",ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ÃŃk,fÃ¶r,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  A group of lions is called a ____.
 Answer: ",Ġpride,Ġpack,Ġpack,Ġpack,Ġpack,Ð¾Ð´Ð¸,vip,hall,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The process of a caterpillar becoming a butterfly is called ____.
 Answer: ",Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Å¡k,ovsky,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The boiling point of water in Fahrenheit is ____.
 Answer: ",212,Ġ,ĠFahrenheit,Ġboiling,temperature,temperature,ĠFahrenheit,IFF,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Pythagorean theorem is a² + b² = ____.
 Answer: ",Ġc,ĠThe,Ġsquares,inha,ĠSQUARE,OA,Ġfours,IFF,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The distance around a circle is called the ____.
 Answer: ",Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,Ġcircumference,ĠØ§ÙĦØ¨ÙĬ,wert,icals,xit,íķ©,ĠImpossible,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The currency of India is the ____.
 Answer: ",ĠIndian,ĠIN,ĠDollars,ĠDollars,ĠDollars,ĠDollars,ĠCurrency,IFF,wert,icals,xit,íķ©,Ġparadox,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The symbol for the speed of light in physics is ____.
 Answer: ",Ġc,Ġlight,Ġlight,LIGHT,peed,Ġspeeds,Ġphysicists,icer,wert,icals,xit,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The capital of Italy is ____
 Answer: ",ĠRome,ĠRome,ĠRome,ĠRome,ĠRome,Ġcapitals,Ġcitt,Ġven,wert,icals,xit,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The largest ocean on Earth is the ____
 Answer: ",ĠPacific,ĠPacific,Ġoceans,Ġoceans,Ġoceans,Ġocean,Ġoceans,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  Ice melts at ____ degrees Celsius
 Answer: ",0,0,Ġice,Ġice,Ġice,temperature,Ġnhiá»ĩt,Ġberlin,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The chemical symbol for silver is ____
 Answer: ",ĠAg,ĠAg,Ġsilver,Ġsilver,gold,Ã³r,CHA,isz,wert,icals,lete,íķ©,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The Pyramids of Giza are located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,Ġsoutheast,ÅĦst,oa,ovsky,wert,icals,idth,technical,ç¾©,member,Ġ,Ġ,Ġ
"Using Answer Using one word only :  The currency of the United Kingdom is the ____
 Answer: ",Ġpound,Ġsterling,ĠPound,ĠGBP,ĠPound,Äħd,ĠCurrency,stra,wert,icals,idth,íķ©,ç¾©,member,Ġ,Ġ,Ġ
