Res,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",12,12,15,15,6,6,6,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube root of 27 is ____.
 Answer: ",9,3,3,3,6,2,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If x = 3, then 2x + 1 = ____.
 Answer: ",4,2,4,4,2,2,2,2,2,1,1,1,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  100 − 25 × 3 = ____.
 Answer: ",100,Ġ,Ġ,Ġ,100,6,6,6,100,100,100,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Sun rises in the ____.
 Answer: ",ĠEast,ĠEast,1,ĠThe,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first president of the United States was George ____.
 Answer: ",ĠWashington,ĠGeorge,ĠGeorge,1,ĠJohn,ĠGeorge,ĠGeorge,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency of the United States is the ____.
 Answer: ",ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Germany is ____.
 Answer: ",ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠGermany,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is located in ____.
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  An octagon has ____ sides.
 Answer: ",8,8,8,8,8,6,4,2,1,1,ĠAnswer,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",ĠThe,ĠElephant,ĠElephant,ĠElephant,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The inventor of the telephone was Alexander Graham ____.
 Answer: ",ĠBell,ĠBell,ĠAlexander,ĠAlexander,ĠAlexander,ĠJohn,ĠAlexander,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The freezing point of water in Celsius is ____.
 Answer: ",273,273,273,32,273,273,0,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Science and Nature
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠQuestion,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",ĠChlor,ĠChlor,ĠChlor,1,ĠPhotos,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of water turning into vapor is called ____.
 Answer: ",ĠVapor,Ġev,ĠVapor,ĠVapor,ĠVapor,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest unit of life is the ____.
 Answer: ",1,1,1,1,ĠThe,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Lightning is caused by electrical ____.
 Answer: ",ĠDis,ĠDis,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,ĠLightning,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The human heart pumps ____.
 Answer: ",4,4,4,2,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____.
 Answer: ",ĠNit,ĠNit,ĠNit,ĠNit,2,2,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Milky Way is a type of ____.
 Answer: ",ĠGalaxy,ĠGalaxy,ĠGalaxy,ĠThe,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The closest planet to the Sun is ____.
 Answer: ",ĠUran,ĠMercury,ĠVenus,ĠVenus,ĠVenus,ĠVenus,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The hardest natural substance is ____.
 Answer: ",1,1,1,1,ĠThe,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Penguins live in the ____.
 Answer: ",ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠAntarctica,ĠPenguins,ĠPenguins,1,1,1,1,5,1,1,1,1,Ġ
"Using Answer Using one word only :  Pop Culture and History
 Answer: ",1,1,1,1,1,1,ĠThe,1,1,1,1,ĠAnswer,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The author of ""Harry Potter"" is J.K. ____.
 Answer: ",ĠRowling,ĠRowling,ĠJ,ĠJK,ĠRowling,ĠRowling,ĠRowling,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Mona Lisa was painted by ____.
 Answer: ",ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠMichel,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Titanic sank in the year ____.
 Answer: ",191,191,191,191,191,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first man on the Moon was Neil ____.
 Answer: ",ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠNeil,ĠNeil,ĠNeil,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The national flower of the United States is the ____.
 Answer: ",ĠThe,ĠThe,ĠThe,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Greek god of the sea is ____.
 Answer: ",ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠZeus,ĠThe,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Roman numeral for 50 is ____.
 Answer: ",50,ĠV,50,ĠI,2,2,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Declaration of Independence was signed in ____.
 Answer: ",177,177,177,177,177,177,178,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The year World War II ended was ____.
 Answer: ",194,194,194,194,194,194,194,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Canada is ____.
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCanada,ĠCanada,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Logical and Common Sense
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,1,1,1,1,Ġ
"Using Answer Using one word only :  The opposite of hot is ____.
 Answer: ",Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary color mixed with blue to make green is ____.
 Answer: ",1,1,2,1,1,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",4,3,3,3,3,6,3,2,1,1,1,ĠA,1,ĠThe,1,1,Ġ
"Using Answer Using one word only :  When water freezes, it becomes ____.
 Answer: ",Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,ĠIce,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A person who studies the stars is called an ____.
 Answer: ",ĠAstr,ĠAstr,ĠAstr,1,1,ĠA,1,1,1,1,ĠA,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The synonym for happy is ____.
 Answer: ",Ġhappy,1,Ġhappy,Ġhappy,Ġhappy,Ġhappy,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  An animal known for its black and white stripes is a ____.
 Answer: ",2,2,2,2,1,1,1,1,1,1,ĠAnswer,ĠAnswer,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency used in the United Kingdom is the ____.
 Answer: ",ĠPound,ĠThe,ĠThe,ĠBritish,ĠBritish,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If it is 3 PM now, one hour later it will be ____.
 Answer: ",6,6,6,6,6,6,2,2,1,1,1,1,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  The plural of ""child"" is ____.
 Answer: ",Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Word Completion
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠQuestion,ĠKey,1,1,Ġ
"Using Answer Using one word only :  The ____ is shining brightly today. (sun)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The house is painted ____. (blue)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  He always reads before going to ____. (bed)
 Answer: ",1,1,1,1,Ġbed,Ġbed,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The train arrived at the ____ on time. (station)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A cat says ____. (meow)
 Answer: ",1,1,1,1,2,1,1,1,1,1,1,ĠA,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The moon looks ____ tonight. (bright)
 Answer: ",1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The baby was ____ softly. (sleeping)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  This cake is very ____. (delicious)
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThis,1,1,Ġ
"Using Answer Using one word only :  I bought a new ____ yesterday. (phone)
 Answer: ",1,1,1,1,ĠI,1,1,1,1,1,1,ĠI,ĠThe,ĠI,1,1,Ġ
"Using Answer Using one word only :  The sky is full of ____ at night. (stars)
 Answer: ",Ġstars,ĠThe,ĠStars,1,1,Ġstars,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Challenging Questions
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠQuestion,ĠQuestion,ĠKey,1,1,Ġ
"Using Answer Using one word only :  The first element on the periodic table is ____.
 Answer: ",1,1,1,1,1,ium,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The human body has ____ bones.
 Answer: ",2,2,5,1,2,5,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  1 kilogram is equal to ____ grams.
 Answer: ",100,1,Ġ,1,1,1,1,1,1,1,1,1,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The SI unit of temperature is ____.
 Answer: ",ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠKelvin,ĠC,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Earth revolves around the ____.
 Answer: ",ĠSun,ĠSun,ĠSun,ĠSun,ĠSun,ĠEarth,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A right angle is ____ degrees.
 Answer: ",90,90,90,90,90,90,2,2,1,1,1,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The first computer programmer was Ada ____.
 Answer: ",1,1,ĠAda,ĠAda,ĠAda,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The author of ""The Odyssey"" was ____.
 Answer: ",ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,ĠHomer,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Australia is ____.
 Answer: ",ĠCanberra,ĠSydney,ĠSydney,ĠCanberra,ĠNew,ĠAustralia,ĠAustralia,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The speed of light is approximately 3 x ____ m/s.
 Answer: ",299,3,3,3,3,3,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  15 ÷ 3 = ____.
 Answer: ",5,5,5,5,6,6,6,6,1,1,1,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  9 × 9 = ____.
 Answer: ",81,81,Ġ,Ġ,36,9,9,8,9,10,9,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  18 + 7 = ____.
 Answer: ",Ġ,25,Ġ,Ġ,21,Ġ,6,6,6,Ġ,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  40 − 8 = ____.
 Answer: ",32,Ġ,Ġ,Ġ,2,Ġ,8,6,10,10,10,Ġ,3,Ġ,1,1,Ġ
"Using Answer Using one word only :  The area of a circle is πr², where r is the ____.
 Answer: ",Ġdiameter,2,2,2,2,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  10 squared is ____.
 Answer: ",100,Ġ,Ġ,Ġ,16,10,8,2,1,10,10,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  1 + 2 × 3 = ____.
 Answer: ",6,6,Ġ,6,6,6,6,6,1,1,1,1,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  The sum of angles in a triangle is ____ degrees.
 Answer: ",180,60,90,90,90,90,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If 2x = 10, then x = ____.
 Answer: ",2,2,2,2,2,2,1,2,2,1,1,2,ĠThe,ĠIf,1,1,Ġ
"Using Answer Using one word only :  0.25 as a percentage is ____%.
 Answer: ",0,0,Ġ,0,0,0,0,1,1,1,1,Ġ,1,Ġ,1,1,Ġ
"Using Answer Using one word only :  Advanced and Specific
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,ĠAnswer,ĠQuestion,ĠKey,1,1,Ġ
"Using Answer Using one word only :  The square of 12 is ____.
 Answer: ",144,144,144,144,36,8,4,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Egypt is ____.
 Answer: ",ĠCairo,ĠCairo,ĠThe,ĠCairo,ĠCairo,ĠCairo,ĠEgypt,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The programming language developed by Guido van Rossum is ____.
 Answer: ",ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,ĠPython,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  A group of lions is called a ____.
 Answer: ",Ġpride,1,1,Ġa,2,1,1,1,1,1,1,ĠA,ĠAnswer,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of a caterpillar becoming a butterfly is called ____.
 Answer: ",Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,Ġmetam,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The boiling point of water in Fahrenheit is ____.
 Answer: ",212,100,32,32,32,32,1,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Pythagorean theorem is a² + b² = ____.
 Answer: ",4,4,3,2,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The distance around a circle is called the ____.
 Answer: ",Ġcircumference,2,Ġcircumference,2,Ġcircumference,2,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency of India is the ____.
 Answer: ",ĠRu,ĠRu,ĠRu,ĠRu,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The symbol for the speed of light in physics is ____.
 Answer: ",299,299,3,Ġlight,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Italy is ____
 Answer: ",rome,rome,ĠRome,ĠRome,ĠRome,ĠRome,ĠItaly,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The largest ocean on Earth is the ____
 Answer: ",ĠThe,ĠPacific,ĠO,ĠOcean,ĠOcean,Ġocean,ĠAntarctica,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Ice melts at ____ degrees Celsius
 Answer: ",0,0,0,0,0,2,0,1,1,1,1,1,1,ĠI,1,1,Ġ
"Using Answer Using one word only :  The chemical symbol for silver is ____
 Answer: ",ĠAg,ĠAg,ĠAg,ĠAg,Ġsilver,Ġsilver,Ġsilver,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Pyramids of Giza are located in ____
 Answer: ",ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,ĠEgypt,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The currency of the United Kingdom is the ____
 Answer: ",ĠPound,ĠPound,ĠPound,ĠBritish,ĠPound,ĠBritish,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The second largest river in the world is the ____
 Answer: ",ĠAmazon,ĠAmazon,ĠNile,ĠNile,ĠNile,ĠThe,1,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The tallest building in the world is the ____
 Answer: ",ĠBur,ĠBur,ĠBur,ĠThe,ĠTower,ĠThe,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The primary language spoken in Argentina is ____
 Answer: ",ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠSpanish,ĠEnglish,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The atomic number of hydrogen is ____
 Answer: ",1,1,1,1,1,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  6 + 4 = ____
 Answer: ",10,10,10,10,8,Ġ,6,2,6,6,6,Ġ,2,Ġ,Ġ,1,Ġ
"Using Answer Using one word only :  15 ÷ 3 = ____
 Answer: ",5,5,5,5,6,6,6,6,1,1,1,Ġ,Ġ,Ġ,Ġ,1,Ġ
"Using Answer Using one word only :  The square root of 25 is ____
 Answer: ",5,5,5,5,2,2,2,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  9 × 6 = ____
 Answer: ",36,54,54,54,24,Ġ,6,6,10,1,1,Ġ,Ġ,Ġ,1,1,Ġ
"Using Answer Using one word only :  30 − 14 = ____
 Answer: ",Ġ,16,Ġ,6,2,16,6,6,10,1,1,Ġ,Ġ,Ġ,1,1,Ġ
"Using Answer Using one word only :  The area of a square with side length 7 is ____
 Answer: ",49,49,49,14,13,8,8,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The perimeter of a rectangle with length 8 and width 6 is ____
 Answer: ",24,24,16,16,16,6,8,2,2,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The cube root of 64 is ____
 Answer: ",8,8,8,16,16,2,3,2,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  If x = 5, then 3x + 2 = ____
 Answer: ",7,7,7,7,6,2,6,2,2,1,3,2,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  200 − 50 × 4 = ____
 Answer: ",100,Ġ,Ġ,200,200,5,6,6,5,Ġ,1,Ġ,Ġ,Ġ,1,1,Ġ
"Using Answer Using one word only :  The Taj Mahal is located in ____
 Answer: ",ĠA,ĠA,ĠA,ĠTaj,ĠTaj,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Mount Everest is in the ____ mountain range
 Answer: ",ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠHimal,ĠMount,ĠMount,ĠMount,ĠMount,ĠMount,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Spain is ____
 Answer: ",ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠMadrid,ĠSpain,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Amazon rainforest is primarily in ____
 Answer: ",ĠSouth,ĠSouth,ĠAmazon,ĠSouth,ĠAmazon,ĠAmazon,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Sahara is the largest ____ in the world
 Answer: ",Ġdesert,Ġdesert,Ġdesert,ĠDesert,ĠSahara,1,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Great Barrier Reef is found near ____
 Answer: ",ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The capital of Canada is ____
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠCanada,ĠCanada,2,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Eiffel Tower is located in ____
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest planet in the solar system is ____
 Answer: ",ĠUran,1,ĠMercury,ĠMercury,ĠMars,ĠVenus,1,1,1,1,1,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The Sun is a type of ____
 Answer: ",Ġstar,Ġstar,ĠSun,ĠPlan,ĠPlan,ĠPlan,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  Photosynthesis produces ____ as a byproduct
 Answer: ",Ġglucose,ĠCO,ĠCO,ĠCO,ĠCO,Ġcarbon,1,1,1,1,1,ĠAnswer,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The process of a solid turning directly into a gas is called ____
 Answer: ",ĠComb,2,2,2,1,2,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
"Using Answer Using one word only :  The smallest particle of an element is an ____
 Answer: ",Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,Ġatom,1,1,1,1,ĠThe,ĠThe,ĠThe,ĠThe,1,1,Ġ
