Question,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
" 5 + 3 = ____.
 Answer: ",8,8,8,8,8,8,8,8,8,ī,hoot,leftright,leftright,hoot,ģn,ī,.mousePosition,Uvs,'gc,'gc,UPPORTED,UnitTest,'gc,STYPE,'gc,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 12 ÷ 4 = ____.
 Answer: ",Ġ,3,3,3,3,3,3,Ġthree,308,'gc,'gc,'gc,.metamodel,ĠBurl,'gc,presso,presso,Uvs,'gc,'gc,ycastle,UnitTest,'gc,.scalablytyped,'gc,icha,ICAST,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The square root of 16 is ____.
 Answer: ",Ġ,4,4,4,4,Ġfours,TestingModule,TestingModule,TestingModule,TestingModule,ī,ī,ī,ī,ī,ĠCarp,styleType,Uvs,Uvs,#ad,ycastle,.Metro,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 7 × 8 = ____.
 Answer: ",56,56,56,56,56,56,56,56,56,56,56,56,¶ģ,'gc,'gc,'gc,'gc,anova,'gc,'gc,ycastle,'gc,'gc,'gc,ibri,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 25 − 17 = ____.
 Answer: ",8,8,8,8,8,8,8,8,8,Ġeight,setFlash,setFlash,setFlash,ī,ī,ī,ī,opa,Ġstripslashes,ekil,ycastle,UnitTest,'gc,.scalablytyped,'gc,icha,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The area of a square with side length 4 is ____.
 Answer: ",16,16,16,16,16,16,16,16,Area,Area,Area,inka,ovit,iversit,ovit,ovit,'gc,Uvs,Uvs,ptest,ycastle,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The perimeter of a rectangle with length 5 and width 3 is ____.
 Answer: ",Ġ,13,13,12,12,18,18,18,á»Ľm,á»Ľm,ĠwireType,isos,isos,ī,Ġanswer,'gc,'gc,olute,Uvs,ekil,ycastle,UnitTest,.$.,STYPE,ichert,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The cube root of 27 is ____.
 Answer: ",3,3,3,3,3,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,Ġcube,ī,ī,presso,presso,Uvs,'gc,#ad,ycastle,.Metro,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" If x = 3, then 2x + 1 = ____.
 Answer: ",Ġ,5,5,4,5,5,4,4,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ī,'gc,Ġanswer,presso,presso,Uvs,Uvs,illac,ichert,#ab,avigator,STYPE,ichert,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" 100 − 25 × 3 = ____.
 Answer: ",Ġ,25,25,25,25,25,75,Ġzero,37,37,ModelProperty,SPATH,SPATH,ĠPub,ovit,ĠUPDATED,Î¼Î¼,STYPE,'gc,ekil,ycastle,'gc,'gc,.scalablytyped,'gc,ichert,ULSE,ĠINLINE,'gc,ĠkonkrÃ©t,Î´Î±,'gc,íĨ¤
" The Eiffel Tower is located in ____.
 Answer: ",ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠParis,ĠFrance,ĠFrance,ĠFrance,Ġanswer,Ġanswer,Ġanswer,presso,presso,initWith,ĠSab,rophy,Uvs,#ab,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Sun rises in the ____.
 Answer: ",ĠEast,ĠEast,Ġeast,Ġeast,Ġeast,Ġeast,Ġeast,Ġeast,Ġeast,Ġeast,Ġeast,ī,ī,Ġanswer,Ġanswer,presso,ukan,aData,ĠSab,uent,iteDatabase,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first president of the United States was George ____.
 Answer: ",ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠWashington,ĠPresident,ĠWashington,ĠWashington,Ġanswer,Ġanswer,arton,arton,emoc,ī,emoc,presso,styleType,iddi,ktop,uent,ushima,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The currency of the United States is the ____.
 Answer: ",1,ĠThe,Ġanswer,Ġanswer,ateg,Ġdollars,Ġdollars,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ktop,ĠSab,Ġ++)Ċ,logradouro,UnitTest,Ġstag,STYPE,ibri,ĠLeading,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Germany is ____.
 Answer: ",1,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,ĠBerlin,Ġcapital,Ġcapital,Ġcapital,Ġcapital,Ġcapital,presso,presso,sdk,ĠSab,<typeof,ycastle,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Great Barrier Reef is located in ____.
 Answer: ",1,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,ĠAustralia,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ateg,'gc,ĠSab,ĠSab,uent,Uvs,#ab,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" An octagon has ____ sides.
 Answer: ",8,8,8,8,8,Ġoct,Ġoct,Ġoct,Ġoct,Ġoct,Ġoct,'gc,isos,ugi,'gc,'gc,'gc,'gc,'gc,Ġ++)Ċ,ushima,'gc,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The largest mammal in the world is the ____.
 Answer: ",1,Ġ,ele,ĠBLUE,Ġwal,ele,Ġelephants,Ġanswer,Ġanswer,Ġmam,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,.hm,'gc,ĠSab,ĠBrace,logradouro,Ġstag,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The inventor of the telephone was Alexander Graham ____.
 Answer: ",ĠBell,ĠBell,ĠBell,Ġanswer,Ġinvent,Ġinvent,Ġinvent,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ī,ī,ī,presso,ukan,ÏĦÏİ,ktop,uent,logradouro,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The freezing point of water in Celsius is ____.
 Answer: ",0,0,0,0,Ġice,Ġice,Ġfreezing,Ġwater,Ġfreezing,Ġfreezing,Ġice,Ġfreezing,Ġfreezing,Ġwater,Ġtemperatures,presso,presso,Uvs,LastError,<typeof,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,icha,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Science and Nature
 Answer: ",ĠChemistry,ĠScience,Ġscience,ĠUsing,ĠUsing,Ġscience,Ġscience,Ġnature,Ġscience,Ġanswer,Ġscience,AtA,AtA,.Undef,.Undef,.Undef,'gc,'gc,'gc,uent,.Undef,#ab,itest,sst,ibri,ibri,ULSE,emm,otel,orget,addAll,'gc,íĨ¤
" Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",1,ĠPhotos,ĠPhotos,Ġchlor,ĠPhotos,Ġphotos,Ġphotos,ĠPhotos,Ġphotos,Ġphotos,Ġanswer,Ġanswer,iteDatabase,iteDatabase,Ġanswer,presso,presso,Uvs,'gc,okrat,.generated,#ab,#ab,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,addAll,'gc,íĨ¤
" The process of water turning into vapor is called ____.
 Answer: ",1,Ġev,Ġev,Ġev,Ġev,Ġev,Ġev,Ġev,Ġev,Ġev,Ġanswer,Ġanswer,iteDatabase,Ġanswer,Ġanswer,presso,presso,HeaderCode,'gc,ĠBrace,ÑĤÐ¾Ñİ,#ab,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The smallest unit of life is the ____.
 Answer: ",1,Ġcell,Ġcell,orges,orges,orges,Ġmolecule,ĠDNA,ĠDNA,ç»Ĩèĥŀ,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,Uvs,'gc,iteDatabase,logradouro,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Lightning is caused by electrical ____.
 Answer: ",1,Ġstatic,Ġstatic,Ġstatic,Ġstatic,Ġlightning,Ġlightning,Ġlightning,Ġlightning,Ġlightning,Ġlightning,Ġlightning,Ġanswer,Ġanswer,Ġanswer,presso,presso,Ġcirc,ĠSab,******/,ssp,ateg,ãĥĭãĤ¢,STYPE,ibri,ibri,ULSE,adera,ĠOaks,orget,'gc,'gc,íĨ¤
" The human heart pumps ____.
 Answer: ",Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġblood,Ġcirc,Ġcirc,Ġcirc,Ġanswer,presso,presso,Uvs,ĠSab,rophy,ushima,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The primary gas in Earth's atmosphere is ____.
 Answer: ",1,Ġoxygen,Ġoxygen,Ġoxygen,Ġoxygen,Ġoxygen,Ġatmosphere,ĠCO,Ġatmosphere,Ġatmosphere,Ġatmosphere,Ġatmosphere,Ġanswer,Ġanswer,Ġanswer,presso,presso,Uvs,ĠSab,<typeof,ÑĤÐ¾Ñİ,UnitTest,#ab,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Milky Way is a type of ____.
 Answer: ",Ġgalaxy,Ġspiral,Ġgal,Ġgal,Ġgal,Ġgal,Ġgal,Ġgal,Ġgal,emoc,emoc,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ouser,styleType,Uvs,ĠSab,uent,logradouro,Ġstag,Ġstag,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The closest planet to the Sun is ____.
 Answer: ",1,1,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠMercury,ĠSun,ĠSun,ĠSun,Ġclosest,Ġclosest,ĠSun,Ġanswer,utive,à¹Īà¸Ńà¸¢,olute,ĠSab,rophy,logradouro,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The hardest natural substance is ____.
 Answer: ",ĠDiamond,ĠDiamond,ĠDiamond,ĠDiamond,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ĠSab,ĠSab,<typeof,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Penguins live in the ____.
 Answer: ",ĠAntarctic,Ġar,ĠAntar,Ġocean,Ġocean,Ġocean,Ġcold,Ġocean,Ġocean,Ġanswer,ī,Ġanswer,Ġanswer,Ġanswer,Ġanswer,ouser,enco,@\,ĠSab,okrat,Ð±ÑĢÐ°,Ġstag,Ð¦Ðµ,STYPE,ibri,ibri,ULSE,ACKET,ĠOaks,orget,'gc,'gc,íĨ¤
" Pop Culture and History
 Answer: ",ĠAnswer,Ġ,ĠPop,ĠUsing,ĠPop,Ġpop,Ġpop,ĠUsing,Ġ,Ġanswer,Ġ,ĠEra,.Undef,iteDatabase,.Undef,iteDatabase,'gc,#af,'gc,UnitTest,.Undef,#ab,itest,sst,ibri,ibri,ULSE,ĠINLINE,otel,orget,addAll,'gc,íĨ¤
" The author of ""Harry Potter"" is J.K. ____.
 Answer: ",ĠRowling,ĠROW,Ġrow,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,ĠRowling,Interpolator,perse,ī,ī,_processors,ukan,ĠSab,Ġtremend,esium,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,.Metro,Ð¦Ðµ,POCH,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Mona Lisa was painted by ____.
 Answer: ",1,1,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,ĠLeonardo,Ġbuff,Ġbuff,ateg,ateg,Ġtun,ukan,ĠSab,ĠSab,acha,ushima,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Titanic sank in the year ____.
 Answer: ",Ġ,191,191,191,191,191,191,191,191,191,191,191,191,191,191,Ġbef,ukan,Uvs,ĠSab,Ġ++)Ċ,ushima,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The first man on the Moon was Neil ____.
 Answer: ",ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,ĠArmstrong,Ġastronauts,Ġanswer,Ġastronauts,Ġastronauts,Ġanswer,Ġanswer,dued,ControlEvents,ateg,ī,presso,ukan,ÏĦÏİ,'gc,rophy,ushima,.Metro,avigator,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The national flower of the United States is the ____.
 Answer: ",1,1,1,Ġanswer,Ġcarn,Ġmagn,Ġrose,Ġroses,Ġroses,Ġlaure,Ġwre,Ġwre,Ġanswer,#NAME?,Ġanswer,presso,presso,ktop,ĠSab,ecera,logradouro,UnitTest,.$.,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Greek god of the sea is ____.
 Answer: ",1,ĠPose,Pose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,ĠPose,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġcorrect,COPE,ĠSab,ĠSab,uent,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,orget,'gc,'gc,íĨ¤
" The Roman numeral for 50 is ____.
 Answer: ",ĠL,Ġli,50,50,50,50,50,50,50,ĠRoman,ĠRoman,ĠRoman,Opaque,Opaque,isphere,isphere,'gc,Uvs,ĠSab,rophy,ycastle,UnitTest,avigator,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The Declaration of Independence was signed in ____.
 Answer: ",Ġ,Ġ,ĠIndependence,177,ĠPhiladelphia,177,177,ĠPhiladelphia,177,ĠRevolutionary,egal,egal,presso,ī,egal,egal,ukan,Uvs,ĠSab,okrat,logradouro,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The year World War II ended was ____.
 Answer: ",Ġ,194,194,194,194,194,194,194,194,194,194,194,194,194,Ġanswer,_integer,_integer,Uvs,ĠSab,:Event,ushima,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The capital of Canada is ____.
 Answer: ",ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,ĠOttawa,Ġcapital,ĠOttawa,ĠOttawa,ĠCanada,.gc,presso,presso,Uvs,ĠSab,<typeof,ycastle,.Metro,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Logical and Common Sense
 Answer: ",ĠLogical,Ġ,1,ĠUsing,ĠUsing,Ġlogical,ĠUsing,Ġusing,Ġ,Ġanswer,Ġ,AtA,AtA,AtA,AtA,.Undef,'gc,achts,Ã¦k,:Event,.Lines,'gc,Ġstag,sst,ibri,ibri,ULSE,emm,ĠOaks,orget,'gc,'gc,íĨ¤
" The opposite of hot is ____.
 Answer: ",Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġcold,Ġanswer,ī,Ġanswer,presso,_codegen,aData,ĠSab,Ġ++)Ċ,ssp,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The primary color mixed with blue to make green is ____.
 Answer: ",1,1,Ġgreen,Ġanswer,Ġanswer,Ġgreen,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,iteDatabase,Ġanswer,Ġanswer,presso,presso,Uvs,'gc,chg,ÑĤÐ¾Ñİ,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A triangle has ____ sides.
 Answer: ",3,3,3,3,3,3,Ġsides,Ġsides,Ġsides,Ġsides,Ġanswer,Ġthree,isos,Ġthree,Ġanswer,'gc,çĶ»,Coroutine,ĠSab,ous,ushima,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" When water freezes, it becomes ____.
 Answer: ",Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġice,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,Uvs,ĠSab,Streamer,ssp,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" A person who studies the stars is called an ____.
 Answer: ",1,Ġ,astr,astr,astr,astr,astr,astr,Ġastro,astr,Ġast,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġcorrect,presso,ounty,ĠSab,******/,logradouro,UnitTest,Ġstag,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The synonym for happy is ____.
 Answer: ",1,1,1,1,Ġcontent,Ġcontent,Ġcontent,Ġhappiness,Ġhappiness,Ġhappiness,Ġhappiness,AtA,AtA,ī,Ġanswer,presso,Ġb,ktop,ĠSab,ĠBrace,ssp,UnitTest,avigator,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" An animal known for its black and white stripes is a ____.
 Answer: ",1,Ġz,ĠGir,Ġze,Ġstripes,Ġstripes,Ġstripes,Ġstripes,Ġanswer,Ġstripes,Ġanswer,Ġanswer,Ġanswer,leftright,Ġanswer,presso,'gc,Uvs,ĠSab,acha,logradouro,Ġstag,avigator,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The currency used in the United Kingdom is the ____.
 Answer: ",1,ĠSterling,ĠSterling,ĠSterling,Ġpound,Ġpound,Ġpound,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,Ġanswer,presso,presso,ktop,ĠSab,ĠSab,ssp,UnitTest,.$.,STYPE,ibri,ibri,ULSE,adera,ĠOaks,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" If it is 3 PM now, one hour later it will be ____.
 Answer: ",4,4,4,4,4,ĠPM,ollen,izon,izon,PM,Ġafternoon,ī,ī,ī,Ġanswer,presso,'gc,ÐºÐ¾ÑĢÐ¸ÑģÑĤ,'gc,]âĢı,ssp,.Metro,Ġstag,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The plural of ""child"" is ____.
 Answer: ",Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,Ġchildren,doch,doch,Ġplural,Ġplural,'gc,à¹Īà¸Ńà¸¢,Uvs,ĠSab,ounty,codegen,UnitTest,_UUID,STYPE,ibri,ibri,ULSE,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" Word Completion
 Answer: ",ĠAnswer,ĠWord,ĠWord,Ġcompletion,ĠWord,ĠCompletion,ĠCompletion,Ġcompleting,Ġword,Ġanswer,'gc,'gc,'gc,'gc,'gc,'gc,'gc,'gc,'gc,uent,.Undef,#ab,itest,@\,.scalablytyped,ibri,ULSE,emm,otel,orget,'gc,'gc,íĨ¤
" The ____ is shining brightly today. (sun)
 Answer: ",ĠThe,ĠThe,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,Ġsun,ī,iteDatabase,iteDatabase,Ġanswer,presso,'gc,aData,'gc,uent,ssp,.Metro,Ġstag,STYPE,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" The house is painted ____. (blue)
 Answer: ",Ġblue,ĠThe,Ġblue,Ġblue,Ġblue,ĠBlue,Ġblue,Ġblue,ī,ī,ī,ī,ī,ī,Ġanswer,ouser,'gc,ÑĤÐ¾Ñİ,'gc,uent,.generated,UnitTest,ArrayOf,STYPE,ibri,ibri,ICAST,adera,otel,ĠkonkrÃ©t,'gc,'gc,íĨ¤
" He always reads before going to ____. (bed)
 Answer: ",Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbed,Ġbefore,iteDatabase,iteDatabase,ouser,presso,'gc,Drv,'gc,'gc,ssp,UnitTest,ãĥĭãĤ¢,ãĥĭãĤ¢,ibri,ibri,ICAST,adera,otel,orget,'gc,'gc,íĨ¤
" The train arrived at the ____ on time. (station)
 Answer: ",Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,Ġstation,ī,iteDatabase,iteDatabase,Ġanswer,presso,'gc,'gc,'gc,iteDatabase,ssp,UnitTest,'gc,ãĥĭãĤ¢,ibri,ibri,ICAST,adera,'gc,ĠkonkrÃ©t,'gc,'gc,íĨ¤
