Res,layer_41,layer_40,layer_39,layer_38,layer_37,layer_36,layer_35,layer_34,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The Eiffel Tower is located in ____.
 Answer: ",▁Paris,▁The,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁Paris,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Sun rises in the ____.
 Answer: ",▁The,▁The,▁East,▁East,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The first president of the United States was George ____.
 Answer: ",▁Washington,▁The,▁Washington,▁Washington,▁Washington,▁Washington,▁Washington,▁Washington,▁The,▁The,▁George,▁George,▁George,▁George,▁The,▁George,▁George,▁The,▁The,▁The,▁The,▁The,▁The,▁',"▁""","▁""",▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The currency of the United States is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The capital of Germany is ____.
 Answer: ",▁The,▁The,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁Berlin,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Great Barrier Reef is located in ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁Australia,▁The,▁The,▁The,▁The,▁Australia,▁Australia,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  An octagon has ____ sides.
 Answer: ",▁E,8,8,8,8,8,8,8,8,▁eight,▁oct,▁oct,▁oct,▁oct,▁oct,▁oct,8,8,"▁""",8,1,▁A,▁An,"▁""","▁""",▁A,▁A,"▁""","▁""","▁""",1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The inventor of the telephone was Alexander Graham ____.
 Answer: ",▁Bell,▁Bell,▁Bell,▁Bell,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The freezing point of water in Celsius is ____.
 Answer: ",▁The,▁The,0,0,▁The,0,0,0,0,0,0,0,0,▁,▁,▁,▁,▁fro,0,▁Fro,1,1,1,1,1,1,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  Science and Nature
 Answer: ",▁(,▁(,1,<0x0A>,<0x0A>,▁Science,<0x0A>,▁Science,▁Science,<0x0A>,<0x0A>,1,▁Science,<0x0A>,▁Science,▁Science,<0x0A>,<0x0A>,▁Science,1,<0x0A>,1,1,1,1,1,1,1,1,<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",▁Ch,▁Ph,▁Ch,▁The,▁The,▁The,▁The,▁The,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁Ph,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""",1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The process of water turning into vapor is called ____.
 Answer: ",▁Ev,▁The,▁Ev,▁Ev,▁The,▁The,▁The,▁The,▁ev,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The smallest unit of life is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁',▁The,▁The,▁The,1,1,1,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  Lightning is caused by electrical ____.
 Answer: ",▁dis,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁The,▁The,▁The,▁The,▁The,▁The,▁',▁',▁',▁',▁',▁Light,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The human heart pumps ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁Blood,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""",▁The,1,1,1,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁',▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Milky Way is a type of ____.
 Answer: ",▁The,▁The,▁The,▁galax,▁The,▁galax,▁galax,▁galax,▁galax,▁The,▁The,▁The,▁galax,▁galax,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The closest planet to the Sun is ____.
 Answer: ",▁The,▁Mercur,▁Mercur,▁Mercur,▁The,▁Mercur,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁',"▁""","▁""",▁The,1,1,1,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The hardest natural substance is ____.
 Answer: ",▁Diam,▁Diam,▁Diam,▁Diam,▁Diam,▁Diam,▁Diam,▁Diam,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  Penguins live in the ____.
 Answer: ",▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁A,▁P,▁P,▁P,▁The,▁The,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""",1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  Pop Culture and History
 Answer: ",▁The,1,1,▁The,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,"▁""","▁""","▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,<0x0A>,<0x0A>,1,1,<0x0A>,1,1,1,1,1,1,2
"Using Answer Using one word only :  The author of ""Harry Potter"" is J.K. ____.
 Answer: ",▁Row,▁Row,▁Row,▁Row,▁The,▁The,▁The,▁The,▁J,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""",▁The,▁The,"▁""",1,"▁""",▁The,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Mona Lisa was painted by ____.
 Answer: ",▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Titanic sank in the year ____.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"▁""",▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The first man on the Moon was Neil ____.
 Answer: ",▁Arm,▁Arm,▁Arm,▁Arm,▁The,▁The,▁The,▁The,▁The,▁The,▁Neil,▁Neil,▁Neil,▁Neil,▁Neil,▁Neil,▁Neil,▁The,▁The,▁The,▁The,▁The,▁',▁',▁The,"▁""",▁The,1,1,1,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The national flower of the United States is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁Flow,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Greek god of the sea is ____.
 Answer: ",▁P,▁The,▁P,▁P,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Roman numeral for 50 is ____.
 Answer: ",▁L,▁The,▁L,▁L,▁The,▁I,5,▁I,▁I,▁I,5,5,5,▁fifty,▁Roman,▁Roman,▁Roman,5,▁Fif,5,5,5,"▁""","▁""",1,"▁""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The Declaration of Independence was signed in ____.
 Answer: ",▁The,▁July,1,1,1,1,1,▁Philadelphia,▁July,▁July,▁July,▁July,▁July,▁July,▁July,▁July,▁July,▁The,▁The,▁The,▁The,▁The,▁The,1,1,"▁""",▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The year World War II ended was ____.
 Answer: ",1,1,1,1,1,1,1,1,1,1,▁The,1,1,▁,▁,▁,▁The,▁_,▁The,▁The,▁The,"▁""",▁The,1,1,"▁""",▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The capital of Canada is ____.
 Answer: ",▁The,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁The,▁Ott,▁Ott,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  Logical and Common Sense
 Answer: ",▁A,1,1,<0x0A>,1,▁A,<0x0A>,<0x0A>,1,1,1,1,1,<0x0A>,<0x0A>,1,1,1,"▁""","▁""","▁""","▁""",1,1,1,1,1,1,1,<0x0A>,1,1,1,<0x0A>,1,1,1,1,1,1,2
"Using Answer Using one word only :  The opposite of hot is ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁Cold,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁',"▁""","▁""",▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The primary color mixed with blue to make green is ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",▁A,▁A,▁A,3,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,"▁""",1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  When water freezes, it becomes ____.
 Answer: ",▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,▁When,"▁""","▁""","▁""","▁""","▁""",▁The,"▁""","▁""",▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  A person who studies the stars is called an ____.
 Answer: ",▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁astronom,▁astronom,▁Astronom,▁astronom,▁Astronom,▁Astronom,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The synonym for happy is ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁happy,▁happy,▁The,▁The,▁The,▁The,▁The,▁The,"▁""","▁""","▁""","▁""","▁""",▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  An animal known for its black and white stripes is a ____.
 Answer: ",▁Z,▁Z,▁Z,▁Z,▁The,▁The,▁The,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁A,▁An,▁A,▁An,▁A,▁A,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The currency used in the United Kingdom is the ____.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  If it is 3 PM now, one hour later it will be ____.
 Answer: ",▁It,▁It,4,4,4,▁It,▁It,▁It,▁It,▁It,▁It,▁It,▁It,▁It,▁It,▁,▁,▁_,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",▁I,"▁""",1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The plural of ""child"" is ____.
 Answer: ",▁The,▁The,▁Children,▁Children,▁Children,▁Children,▁Children,▁Children,▁Children,▁The,▁The,▁The,▁Children,▁Children,▁Children,▁Children,▁Children,▁Children,▁Children,▁The,▁The,"▁""","▁""","▁""","▁""","▁""",▁The,"▁""",1,"▁""",1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  Word Completion
 Answer: ",▁A,1,1,<0x0A>,▁A,▁A,<0x0A>,<0x0A>,<0x0A>,▁Answer,1,1,"▁""",▁_,▁_,▁_,▁_,▁_,"▁""","▁""","▁""","▁""","▁""","▁""",1,"▁""",1,1,1,<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The ____ is shining brightly today. (sun)
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The house is painted ____. (blue)
 Answer: ",▁blue,▁blue,▁The,▁The,▁The,▁blue,▁The,▁blue,▁blue,▁The,▁The,▁The,▁The,▁blue,▁The,▁blue,▁_,▁_,▁The,▁The,▁The,"▁""","▁""",▁',"▁""","▁""","▁""","▁""",1,<0x0A>,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  He always reads before going to ____. (bed)
 Answer: ",▁bed,▁He,▁He,▁bed,▁bed,▁bed,▁bed,▁He,▁He,▁bed,▁bed,▁bed,▁bed,▁bed,▁bed,▁bed,▁bed,▁bed,▁He,▁Before,"▁""","▁""","▁""",▁He,"▁""",▁He,▁He,"▁""","▁""",<0x0A>,<0x0A>,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The train arrived at the ____ on time. (station)
 Answer: ",▁station,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁station,▁station,▁station,▁station,▁station,▁The,▁Station,▁Station,▁The,▁Station,▁The,▁The,▁The,▁The,▁The,"▁""","▁""",▁The,"▁""","▁""",<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  A cat says ____. (meow)
 Answer: ",▁me,▁me,▁me,▁me,▁me,▁me,▁me,▁me,▁me,▁me,▁me,▁Me,▁me,▁Me,▁Me,"▁""",▁Me,▁Me,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",▁A,"▁""","▁""",<0x0A>,1,1,1,▁A,1,1,1,1,1,1,2
"Using Answer Using one word only :  The moon looks ____ tonight. (bright)
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,1,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  The baby was ____ softly. (sleeping)
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁_,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""",1,1,1,"▁""",1,1,1,1,1,1,2
"Using Answer Using one word only :  This cake is very ____. (delicious)
 Answer: ",▁del,▁del,▁del,▁This,▁This,▁del,▁del,▁del,▁del,▁del,▁del,▁del,▁del,▁del,▁_,▁_,▁_,▁_,▁_,▁_,▁_,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,▁The,▁The,1,1,1,1,1,1,2
"Using Answer Using one word only :  I bought a new ____ yesterday. (phone)
 Answer: ",▁I,▁I,▁I,▁I,▁mobile,▁mobile,▁I,▁I,▁I,▁I,▁I,▁I,▁phone,▁I,▁I,▁I,▁I,▁I,▁I,▁I,▁I,▁I,▁I,▁I,▁I,"▁""",▁I,"▁""","▁""","▁""","▁""","▁""","▁""","▁""",1,1,1,1,1,1,2
"Using Answer Using one word only :  The sky is full of ____ at night. (stars)
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁Stars,▁Stars,▁Stars,▁Stars,▁The,▁The,▁Stars,▁stars,▁stars,▁Stars,▁Stars,▁Stars,▁The,▁The,▁The,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  Challenging Questions
 Answer: ",▁Ch,▁Ch,▁Ch,▁Ch,▁challeng,▁challeng,▁challeng,▁challeng,▁challeng,▁challeng,▁challeng,▁challeng,▁A,▁A,▁D,▁D,▁D,▁The,"▁""","▁""","▁""","▁""","▁""","▁""","▁""","▁""",<0x0A>,1,1,<0x0A>,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The first element on the periodic table is ____.
 Answer: ",▁H,▁H,▁H,▁H,▁The,▁The,▁The,▁A,▁A,▁A,▁A,▁A,▁The,▁A,▁The,▁A,▁A,▁_,▁A,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  The human body has ____ bones.
 Answer: ",▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,▁The,"▁""",▁The,"▁""",1,1,1,1,1,1,1,1,1,1,1,1,2
"Using Answer Using one word only :  1 kilogram is equal to ____ grams.
 Answer: ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
