Res,layer_41,layer_40,layer_39,layer_38,layer_37,layer_36,layer_35,layer_34,layer_33,layer_32,layer_31,layer_30,layer_29,layer_28,layer_27,layer_26,layer_25,layer_24,layer_23,layer_22,layer_21,layer_20,layer_19,layer_18,layer_17,layer_16,layer_15,layer_14,layer_13,layer_12,layer_11,layer_10,layer_9,layer_8,layer_7,layer_6,layer_5,layer_4,layer_3,layer_2,layer_1
"Using Answer Using one word only :  The Great Barrier Reef is located in ____.
 Answer: ",▁The,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁Australia,▁ocean,▁_,▁Australia,▁answer,▁answer,▁answer,▁correct,▁correct,▁correct,▁correct,▁correctly,▁correct,rio,▁correct,hem,CCE,enas,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  An octagon has ____ sides.
 Answer: ",8,8,8,▁eight,▁eight,▁eight,▁oct,▁eight,▁eight,▁oct,▁oct,▁oct,▁oct,▁oct,▁oct,▁oct,▁oct,▁eight,▁oct,▁eight,▁eight,▁eight,▁eight,▁eight,лово,ellig,ellig,ellig,texte,pas,hem,CCE,pas,CCE,▁incon,▁ble,issen,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The largest mammal in the world is the ____.
 Answer: ",▁The,▁The,▁The,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁answer,▁answer,answer,▁correct,▁correct,▁correct,▁word,▁correctly,rio,rio,pas,hem,hem,lej,hem,▁incon,▁Bedeut,▁virt,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The inventor of the telephone was Alexander Graham ____.
 Answer: ",▁Bell,▁The,▁Bell,▁Bell,▁The,▁Bell,▁Bell,▁Bell,▁answering,▁answering,▁Answer,▁Answer,▁Answer,▁Answer,▁Answer,▁Answer,▁_,▁_,"▁""",<0x09>,▁',▁',▁',▁correct,▁correct,▁correctly,▁correctly,▁correctly,none,pas,hem,lej,lej,hem,▁incon,▁Bedeut,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  The freezing point of water in Celsius is ____.
 Answer: ",0,0,0,0,0,▁ice,▁free,▁free,▁free,▁free,▁ice,▁ice,▁ice,▁fro,▁fro,▁fro,▁fro,▁fro,▁fro,▁ice,▁ice,▁temperature,▁temperature,rio,▁correct,vd,▁correctly,zin,rio,pas,hem,CCE,enas,roll,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  Science and Nature
 Answer: ",▁(,▁(,▁Answer,▁DNA,    ,trees,▁Science,▁Science,▁Science,Answer,Answer,Answer,Answer,▁Scient,▁Scient,▁Science,▁Science,▁science,▁science,▁answer,▁answer,answer,answer,answer,▁correct,▁correctly,▁correctly,ql,none,ql,▁Pale,CCE,bb,roll,nak,anto,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  Photosynthesis occurs in the ____ of a plant cell.
 Answer: ",▁Ch,▁Ph,▁photos,▁photos,▁photos,▁photos,▁photos,▁photos,葉,▁Answer,▁Answer,▁Answer,▁photos,▁photos,▁Answer,▁Answer,▁Answer,▁Answer,▁Answer,▁Answer,▁answers,▁answers,▁correct,▁correct,▁correct,ellig,ellig,ellig,texte,pas,hem,CCE,lej,▁NC,▁incon,▁ble,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The process of water turning into vapor is called ____.
 Answer: ",▁Ev,▁The,▁ev,▁ev,▁ev,▁cond,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁ev,▁_,▁hyd,<0x09>,<0x09>,"▁""",▁',▁correct,▁correct,▁correctly,▁correctly,▁correct,▁correct,▁correct,hem,CCE,enas,hem,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The smallest unit of life is the ____.
 Answer: ",▁cell,▁The,▁cell,▁cell,▁cell,▁cell,▁cell,▁mole,▁mole,▁cell,▁cell,▁cell,▁cell,▁mole,▁cells,▁atom,▁atom,▁mole,▁atomic,▁answer,▁answer,▁atomic,▁atomic,▁answer,▁correct,▁word,ellig,rio,rio,▁correct,hem,CCE,pas,▁¡,▁incon,▁Bedeut,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  Lightning is caused by electrical ____.
 Answer: ",▁dis,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁Light,▁light,▁light,▁__,Answer,tain,▁Answer,tain,▁answers,▁answers,▁answers,▁correct,▁correct,▁correct,▁correct,▁correct,▁correct,▁correct,pas,hem,CCE,lej,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The human heart pumps ____.
 Answer: ",▁The,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁blood,▁hearts,▁answers,▁',▁',▁correctly,▁correct,▁word,▁correctly,▁correct,bt,bt,hem,lej,pas,hem,▁incon,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The primary gas in Earth's atmosphere is ____.
 Answer: ",▁The,▁The,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁nit,▁atmosphere,▁atmosphere,▁atmosphere,▁atmosphere,▁atmosphere,▁air,▁gas,▁gas,▁gas,▁gas,▁answer,▁gas,▁',▁',▁correct,▁correctly,▁correctly,▁correct,rio,pas,hem,lej,lej,CCE,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The Milky Way is a type of ____.
 Answer: ",▁galax,▁The,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,▁galax,Answer,tain,tain,tain,tain,▁answers,а,tain,▁correctly,▁correct,▁word,▁correct,▁correct,▁correct,pas,hem,CCE,lej,hem,▁incon,anto,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The closest planet to the Sun is ____.
 Answer: ",▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁Mercur,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁planet,▁solar,▁answer,▁solar,▁',▁correct,▁correct,▁word,▁correctly,▁correct,rio,▁correct,hem,CCE,enas,▁¡,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The hardest natural substance is ____.
 Answer: ",▁Diam,▁Diam,▁Diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁diam,▁Answer,▁Answer,▁Answer,▁Answer,▁answer,▁answer,answer,▁correct,▁correctly,▁correct,▁word,▁correctly,▁correct,none,pas,hem,CCE,enas,hem,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  Penguins live in the ____.
 Answer: ",▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁Ant,▁polar,▁polar,▁polar,▁Ant,▁Ant,▁Ant,▁ice,▁ice,▁answer,▁answer,▁answer,▁answer,▁answer,▁answer,▁answers,▁answers,▁answer,▁correctly,▁correct,▁correctly,▁correctly,▁correctly,rio,pas,hem,CCE,pas,CCE,▁incon,anto,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  Pop Culture and History
 Answer: ",▁The,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁Pop,▁pop,▁pop,▁pop,▁pop,▁pop,▁pop,▁pop,▁answers,▁answers,▁answers,▁correct,both,both,▁word,ql,ql,none,pas,▁Pale,CCE,both,roll,unci,iva,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  The author of ""Harry Potter"" is J.K. ____.
 Answer: ",▁Row,▁The,▁Row,▁Row,▁The,▁Row,▁Row,▁Harry,Answer,▁Answer,▁Harry,▁Harry,▁Harry,▁Harry,▁Harry,▁answers,▁answers,▁answers,▁The,▁The,▁answers,tain,▁correct,▁correct,▁correct,▁word,▁correctly,entr,ensk,FM,lej,lej,lej,lej,▁incon,anto,▁virt,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The Mona Lisa was painted by ____.
 Answer: ",▁The,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁Leon,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,▁painter,<0x09>,▁The,▁correctly,▁correct,▁correct,▁correct,▁correctly,▁correctly,▁correct,▁correct,▁correct,hem,CCE,pas,hem,▁incon,anto,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The Titanic sank in the year ____.
 Answer: ",1,1,1,1,1,1,1,▁thousand,▁thousand,▁answers,▁sink,▁sink,▁sink,▁sink,▁_,▁sink,▁_,▁_,▁year,▁year,▁correct,▁correct,▁correct,▁Correct,▁correct,▁correct,▁correctly,▁correctly,none,pas,hem,lej,lej,hem,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The first man on the Moon was Neil ____.
 Answer: ",▁Arm,▁The,▁Arm,▁Arm,▁Neil,▁astr,▁astr,▁astr,▁Answer,▁Answer,▁Neil,▁Neil,▁Neil,▁Neil,▁Neil,<0x09>,<0x09>,<0x09>,<0x09>,<0x09>,<0x09>,▁',▁',▁correct,▁correct,▁word,▁correctly,▁correct,bst,pas,hem,lej,lej,lej,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The national flower of the United States is the ____.
 Answer: ",▁The,▁The,▁rose,▁rose,▁rose,▁rose,▁rose,▁rose,▁flower,▁rose,▁rose,▁flower,▁flowers,▁flower,▁flower,▁flower,▁flower,▁flower,▁The,▁The,▁answer,▁The,▁correct,▁correct,▁correct,▁word,▁correctly,rio,rio,pas,hem,lej,lej,▁NC,▁incon,anto,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The Greek god of the sea is ____.
 Answer: ",▁P,▁The,▁P,▁P,▁Ze,▁Ze,▁Ze,▁Ze,Answer,▁answer,▁Greek,▁Greek,▁Greek,▁Greek,▁answers,▁answers,▁answers,▁answer,▁answer,▁answer,▁answers,answer,▁correct,▁correct,▁correct,▁correctly,▁correctly,rio,rio,pas,hem,lej,pas,hem,▁incon,anto,arta,iva,hol,<s>,▁screens
"Using Answer Using one word only :  The Roman numeral for 50 is ____.
 Answer: ",▁L,▁The,▁Answer,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁fifty,▁Roman,▁Roman,▁Roman,▁fifty,▁fifty,▁fifty,▁fifty,▁fifth,▁Roman,▁fifty,niu,▁'_,ellig,ront,texte,▁correct,answer,CCE,lej,CCE,▁incon,▁Bedeut,▁virt,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The Declaration of Independence was signed in ____.
 Answer: ",1,▁July,▁July,▁Philadelphia,▁Philadelphia,▁Philadelphia,▁Philadelphia,▁Philadelphia,▁Independ,▁July,▁July,▁July,▁July,▁July,▁Independ,▁July,▁July,▁July,▁July,<0x09>,▁Independ,▁Independ,▁correct,▁correct,▁correct,▁correct,▁correct,▁correct,none,pas,hem,essage,pas,▁NC,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The year World War II ended was ____.
 Answer: ",1,1,1,1,1,1,1,▁answer,▁answer,▁answer,▁answer,▁answer,▁answer,▁_,▁_,▁answer,▁_,▁_,▁answer,▁answer,▁answer,▁answer,▁correct,▁correct,▁correct,▁correct,▁correct,▁correct,none,pas,hem,lej,pas,▁NC,▁incon,anto,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  The capital of Canada is ____.
 Answer: ",▁The,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Ott,▁Toronto,▁Toronto,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁capital,▁correct,▁correct,▁correct,▁correctly,▁correct,▁correct,pas,hem,CCE,pas,hem,▁incon,arta,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  Logical and Common Sense
 Answer: ",<0x0A>,▁Log,▁Yes,▁YES,▁YES,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,Answer,▁answer,▁answer,▁answer,answer,answer,answer,▁correct,▁correctly,▁correctly,ql,none,pas,▁Pale,CCE,overflow,roll,̃,̃,arta,iva,oco,<s>,▁screens
"Using Answer Using one word only :  The opposite of hot is ____.
 Answer: ",▁The,▁The,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁cold,▁_,▁cold,▁answer,▁answer,″,▁cold,▁opposite,▁correct,▁word,▁correct,ront,▁correct,pas,hem,CCE,pas,CCE,▁incon,▁Bedeut,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The primary color mixed with blue to make green is ____.
 Answer: ",▁The,▁The,▁yellow,▁yellow,▁yellow,▁yellow,▁yellow,▁blue,▁blue,▁yellow,▁green,▁green,▁green,▁green,▁green,▁green,▁green,▁green,▁green,▁answer,▁answer,″,▁',answer,▁correct,▁correct,▁correct,▁correct,▁correct,▁correct,hem,CCE,enas,CCE,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  A triangle has ____ sides.
 Answer: ",▁A,▁A,▁Three,▁Three,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁triangle,▁three,▁tri,▁three,three,лово,ellig,ellig,ellig,texte,pas,hem,CCE,pas,CCE,ethod,▁ble,issen,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  When water freezes, it becomes ____.
 Answer: ",▁When,▁When,▁When,▁When,▁solid,▁solid,▁solid,▁solid,▁fro,▁fro,▁fro,▁ice,▁ice,▁fro,▁fro,▁fro,▁fro,▁fro,▁When,▁When,<0x09>,▁fro,<0x09>,▁correctly,▁correct,▁word,▁correctly,▁correctly,▁correctly,pas,hem,CCE,lej,▁NC,▁incon,anto,▁virt,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  A person who studies the stars is called an ____.
 Answer: ",▁A,▁An,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,▁astronom,<0x09>,▁answers,″,▁',▁answer,▁correct,▁word,▁correctly,rio,rio,pas,hem,CCE,enas,▁NC,▁incon,▁Bedeut,arta,ів,hol,<s>,▁screens
"Using Answer Using one word only :  The synonym for happy is ____.
 Answer: ",▁The,▁The,▁The,▁joy,▁joy,▁glad,▁joy,▁joy,▁joy,▁joy,▁happy,▁happy,▁joy,▁happy,▁happy,▁happiness,▁happiness,▁happiness,▁happiness,▁answer,▁answers,″,▁word,▁correct,▁correct,▁word,▁correctly,rio,rio,pas,hem,CCE,pas,▁NC,▁incon,anto,arta,▁`(,oco,<s>,▁screens
"Using Answer Using one word only :  An animal known for its black and white stripes is a ____.
 Answer: ",▁Z,▁z,▁z,▁z,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁ele,▁Answer,▁Answer,Answer,▁Answer,tain,▁answer,▁answers,а,▁',answer,▁correct,▁word,ellig,zin,NA,pas,hem,CCE,enas,CCE,▁incon,anto,arta,▁`(,hol,<s>,▁screens
"Using Answer Using one word only :  The currency used in the United Kingdom is the ____.
 Answer: ",▁The,▁The,▁The,▁pounds,▁pounds,▁pounds,▁pounds,▁pounds,▁pounds,▁pounds,▁currency,▁currency,▁currency,▁currency,▁currency,▁currency,▁currency,▁currency,▁currency,▁answer,▁answer,▁answer,▁correct,▁correct,▁correct,▁word,▁correctly,rio,rio,pas,hem,CCE,pas,▁NC,▁incon,▁Bedeut,arta,▁`(,oco,<s>,▁screens
